SaleID,price
200000,1275.26
200001,1832.17
200002,8372.21
200003,1031.71
200004,2032.97
200005,1379.97
200006,420.44
200007,3529.8
200008,8213
200009,618.54
200010,596.08
200011,2601.25
200012,5403.94
200013,8101.62
200014,1630.28
200015,255.49
200016,1724.49
200017,8457.53
200018,6852.51
200019,611.44
200020,24264.47
200021,7850.26
200022,2291.14
200023,1528.1
200024,901.95
200025,8264.37
200026,632.11
200027,12498.44
200028,4098.68
200029,8012.03
200030,18301.13
200031,13975.56
200032,605.64
200033,13712.98
200034,611.14
200035,2004.68
200036,14584.74
200037,5800.72
200038,1578.98
200039,341.52
200040,595.98
200041,25382.91
200042,420.12
200043,8824.14
200044,17902.61
200045,560.27
200046,17688.18
200047,17141.05
200048,2350.38
200049,3103.49
200050,525.21
200051,4502.09
200052,2602.06
200053,500.32
200054,13637.15
200055,10575.63
200056,7544.82
200057,3426.81
200058,995.88
200059,5202.65
200060,8156.26
200061,1243.1
200062,5431.83
200063,8591.27
200064,1279.49
200065,1694.2
200066,538.19
200067,10107.49
200068,192.21
200069,17696.48
200070,8809.68
200071,280.36
200072,6657.19
200073,19121.31
200074,4805.14
200075,15748.9
200076,3132.9
200077,564.49
200078,367.29
200079,3021.9
200080,3361.89
200081,2138.39
200082,3820.25
200083,432.32
200084,1248.79
200085,1587.76
200086,6948.91
200087,3351.19
200088,2709.19
200089,41395.5
200090,2776.07
200091,198.37
200092,1841.95
200093,16518.09
200094,6538.52
200095,5902.58
200096,2572.94
200097,1227.09
200098,440.16
200099,24478.3
200100,21278.97
200101,7449.46
200102,1752.21
200103,10998.69
200104,5369.15
200105,4138.37
200106,8837.46
200107,2044.49
200108,14769.61
200109,7911.81
200110,841.55
200111,1946.82
200112,1798.53
200113,991.25
200114,2280.28
200115,1302.9
200116,14086.12
200117,15422.51
200118,69460.5
200119,215.61
200120,3526.78
200121,2761.66
200122,682.42
200123,2318
200124,54320.21
200125,705.22
200126,3376.03
200127,14996.78
200128,1522.4
200129,6055.85
200130,3728.44
200131,3226.84
200132,1521.09
200133,2463.54
200134,1285.97
200135,2848
200136,3914.21
200137,1077.58
200138,9962.11
200139,6568.97
200140,2616.3
200141,1461.77
200142,6573.87
